id,retweet_count,favorite_count
831322785565769729,1507,9093
831315979191906304,1086,6398
831309418084069378,2394,11544
831262627380748289,1985,11653
830956169170665475,1453,7825
830583320585068544,16280,65341
830173239259324417,5515,0
830097400375152640,2854,9578
829878982036299777,4866,0
829861396166877184,1881,12012
829501995190984704,10314,31104
829449946868879360,1955,10263
829141528400556032,7132,23887
829011960981237760,15919,52277
828801551087042563,3329,0
828770345708580865,5700,25074
828708714936930305,10890,35773
828650029636317184,1297,9326
828409743546925057,1130,6226
828408677031882754,1247,7538
828381636999917570,2169,12356
828376505180889089,1043,7250
828372645993398273,2854,12351
828361771580813312,172,2140
828046555563323392,2799,11520
828011680017821696,2098,10146
827933404142436356,5105,19675
827653905312006145,2942,15203
827600520311402496,915,7327
827324948884643840,2950,15540
827199976799354881,2170,10376
826958653328592898,4866,21165
826848821049180160,9890,35552
826615380357632002,3883,0
826598799820865537,243,5036
826598365270007810,2288,9838
826476773533745153,4087,18074
826240494070030336,2545,13038
826204788643753985,898,4790
826115272272650244,3029,15355
825876512159186944,1817,10295
825829644528148480,2436,12518
825535076884762624,17187,55976
825147591692263424,4425,17982
825120256414846976,1215,0
825026590719483904,1215,6175
824796380199809024,5382,0
824775126675836928,3422,14659
824663926340194305,1729,10356
824325613288833024,10342,11625
824297048279236611,3771,14797
824025158776213504,585,4748
823939628516474880,2647,10459
823719002937630720,10924,0
823699002998870016,2463,13754
823581115634085888,2568,12788
823333489516937216,22,690
823322678127919110,3925,15480
823269594223824897,9664,0
822975315408461824,3367,17041
822872901745569793,42188,129396
822859134160621569,2221,13034
822647212903690241,6259,0
822610361945911296,2884,14572
822489057087389700,6259,17834
822462944365645825,13936,27473
822244816520155136,9664,34439
822163064745328640,4650,0
821886076407029760,2257,11135
821813639212650496,3300,0
821765923262631936,1623,8274
821522889702862852,1711,7915
821421320206483457,5446,0
821407182352777218,4232,11565
821153421864615936,10,251
821149554670182400,1922,8499
821107785811234820,2088,9448
821044531881721856,2222,12475
820837357901512704,6585,0
820749716845686786,9677,31089
820690176645140481,3163,12049
820494788566847489,552,0
820446719150292993,2517,0
820314633777061888,552,3303
820078625395449857,6160,19513
820013781606658049,1148,0
819952236453363712,1148,5251
819924195358416896,4798,12751
819711362133872643,3054,13183
819588359383371776,1958,9520
819347104292290561,1175,7116
819238181065359361,401,2228
819227688460238848,6585,22726
819015337530290176,36296,0
819015331746349057,18686,0
819006400881917954,18686,44767
819004803107983360,36296,85886
818646164899774465,20578,0
818627210458333184,7415,22093
818614493328580609,2488,9699
818588835076603904,6007,0
818536468981415936,2400,10715
818307523543449600,7907,0
818259473185828864,2204,10858
818145370475810820,2513,12113
817908911860748288,785,4792
817827839487737858,26589,50881
817777686764523521,2633,10613
817536400337801217,2898,11624
817502432452313088,3338,0
817423860136083457,14394,33304
817415592588222464,933,5527
817181837579653120,8308,0
817171292965273600,1987,8653
817120970343411712,2550,12061
817056546584727552,1614,8473
816829038950027264,4630,0
816816676327063552,2003,9873
816697700272001025,2152,9658
816450570814898180,7907,29975
816336735214911488,1912,8479
816091915477250048,2094,8822
